link,title,subtitle
https://www.br104.com.br/geral/auxilio-emergencial-confira-quem-vai-receber-o-beneficio-hoje/,Auxílio Emergencial: Confira quem vai receber o benefício hoje,A segunda parcela começa a ser paga nesta segunda-feira (18)
https://www.br104.com.br/acidente/homem-morre-apos-perder-controle-de-moto-e-bater-em-estacas-na-al-105-em-porto-calvo/,Homem morre após perder controle de moto e bater em estacas na AL-105 em Porto Calvo,"O acidente aconteceu na noite desse domingo (17), segundo informações da BPRv, o motociclista utilizava capacete no momento do ocorrido"
https://www.br104.com.br/uniao-dos-palmares/com-2-casos-de-covid-19-prefeitura-nao-deu-apoio-a-casa-do-pobre-em-uniao-dos-palmares/,"Com 2 casos de covid-19, prefeitura não deu apoio a Casa do Pobre em União dos Palmares",A demora para a chegada dos equipamentos de proteção pode trazer resultados catastróficos à casa do pobre Santo Antônio.
https://www.br104.com.br/uniao-dos-palmares/casos-de-covid-19-se-espalham-por-17-bairros-de-uniao-dos-palmares/,Casos de Covid-19 se espalham por 17 bairros de União dos Palmares,"Já são 7 óbitos em decorrência da doença e a Secretaria de Saúde investiga mais duas mortes, que estão como suspeitos."
https://www.br104.com.br/esporte/zumbi-esporte-clube-e-acusado-de-participar-de-esquema-de-jogos-fantasmas/,Zumbi Esporte Clube é citado em esquema de “jogos fantasmas”,"O BR104 conversou com Luciano Peixoto, que já se comprometeu em gravar uma entrevista ainda na manhã dessa segunda-feira"
https://www.br104.com.br/uniao-dos-palmares/prefeitura-vai-contratar-30-pessoas-com-salario-de-ate-r3-700-veja-selecionados/,Prefeitura vai contratar 30 pessoas com salário de até R$3.700; Veja selecionados,30 vagas foram ofertadas e as inscrições estavam disponíveis de 11 a 13 de maio.
https://www.br104.com.br/geral/escritor-alerta-para-risco-de-sergio-camargo-mudar-nome-da-palmares-acordem/,Escritor alerta para risco de Sergio Camargo mudar nome da Palmares; “Acordem!”,Sergio Camargo pretende homenagear o engenheiro militar e monarquista André Rebouças e apagar memória de Zumbi dos Palmares
https://www.br104.com.br/geral/sergio-camargo-quer-mudar-o-nome-da-fundacao-palmares/,Sergio Camargo quer mudar o nome da Fundação Palmares,Camargo quer trocar a homenagem à Zumbi dos Palmares por André Rebouças
https://www.br104.com.br/uniao-dos-palmares/coronavirus-uniao-dos-palmares-tem-7-obitos-e-53-casos-confirmados/,Coronavírus: União dos Palmares tem 7 óbitos e 53 casos confirmados,"Os casos de coronavírus em União dos Palmares estão espalhados por 15 bairros do município, concentrando a maioria no centro da cidade."
https://www.br104.com.br/coronavirus/dois-idosos-testam-positivo-para-covid-19-na-casa-do-pobre-em-uniao-dos-palmares/,"Dois idosos testam positivo para Covid-19 na Casa do Pobre, em União dos Palmares","Emocionada, a diretora fala sobre os riscos a que todos os idosos estão submetidos e lamenta que isso tenha acontecido."
https://www.br104.com.br/alagoas/covid-19-alagoas-tem-novo-recorde-casos-confirmados-e-sobe-para-3-593/,Covid-19: Alagoas tem novo recorde casos confirmados e sobe para 3.593,"Alagoas contabiliza mais 12 óbitos, laboratorialmente, em decorrência do novo coronavírus."
https://www.br104.com.br/educacao/weintraub-faz-balanco-de-inscricoes-para-o-enem-2020/,Weintraub faz balanço de inscrições para o ENEM 2020,O ministro da educação comemorou a marca de 3.167.421 inscritos
https://www.br104.com.br/tecnologia/site-do-tj-al-e-invadido-e-hacker-deixa-recado-todo-o-sistema-de-voces-esta-comprometido/,Site do TJ/AL é invadido e hacker deixa recado: “Todo o sistema de vocês está comprometido”,"O invasor disse estar grato pelo trabalho que o TJ/AL vem desempenhando no combate ao Covid-19, e decidiu ajudar"
https://www.br104.com.br/geral/mano-walter-distribui-cestas-basicas-a-familias-carentes-em-uniao-dos-palmares/,Mano Walter distribui cestas básicas a famílias carentes em União dos Palmares,"A distribuição está sendo feita em vários bairros carentes do município, inclusive na Casa do Pobre Santo Antônio."
https://www.br104.com.br/esporte/mesmo-em-quarentena-luidy-mostra-vontade-de-retornar-aos-gramados-e-elogia-a-fifa/,"Mesmo em quarentena, Luidy mostra vontade de retornar aos gramados e elogia a FIFA",A FIFA anunciou que após as retomadas de jogos os clubes poderão realizar até cinco substituições durante os 90 minutos de jogo
https://www.br104.com.br/economia/2a-parcela-do-auxilio-emergencial-nao-podera-ser-sacado-entenda/,2ª parcela do Auxílio Emergencial não poderá ser sacado. Entenda!,"Será permitido apenas operações em que o dinheiro físico não seja utilizado, como; Pagar boleto e compra no débito, por meio do cartão virtual.  Leia também:"
https://www.br104.com.br/entretenimento/cantor-palmarino-missinho-faz-primeira-live-neste-sabado-16/,"Cantor palmarino Missinho, faz primeira live neste sábado (16)","A transmissão acontecerá neste sábado (16) em três plataformas digitais: Facebook, Instagram e Conexão TV"
https://www.br104.com.br/geral/um-ano-apos-a-morte-de-gabriel-diniz-anac-conclui-investigacao-e-denuncia-aeroclube/,"Um ano após a morte de Gabriel Diniz, Anac conclui investigação e denuncia Aeroclube","O avião que levava o artista para Maceió, pertencia a um aeroclube de Alagoas."
https://www.br104.com.br/uniao-dos-palmares/denuncia-caju-diz-que-secretaria-de-saude-nao-mostra-lista-de-contratados-das-barreiras/,Denúncia: Caju diz que secretária de saúde não mostra lista de contratados das barreiras,"O parlamentar não questiona a legalidade dos pagamentos, mas pede a descriminação de quem são as pessoas, quantas foram contratadas, quanto recebem e o que fazem."
https://www.br104.com.br/uniao-dos-palmares/homem-deixa-moto-e-sai-correndo-apos-ser-atropelado-por-veiculo-na-br-104/,Homem deixa moto e sai correndo após ser atropelado por veículo na BR-104,"A Polícia Rodoviária Federal (PRF) esteve no local para organizar o trânsito, até que os veículos fossem retirados da rodovia."
https://www.br104.com.br/policia/homem-e-executado-a-tiros-na-madrugada-deste-sabado-16-em-craibas/,Homem é executado a tiros na madrugada deste sábado (16) em Craíbas,"De acordo com informações, os criminosos foram na residência da vítima, chamaram seu nome e o executaram em seguida"
https://www.br104.com.br/coronavirus/covid-19-uniao-dos-palmares-tem-47-casos-confirmados-e-33-suspeitos/,Covid-19: União dos Palmares tem 47 casos confirmados e 33 suspeitos,"Até o momento, 14 pacientes concluíram o período de isolamento, não apresentam mais sintomas e são considerados curados."
https://www.br104.com.br/uniao-dos-palmares/acidente-em-obra-do-hospital-regional-da-mata-em-uniao-deixa-um-ferido/,Acidente em obra do Hospital Regional da Mata em União deixa um ferido,O homem - que não teve a identidade revelada - foi conduzido ao hospital São Vicente de Paulo
https://www.br104.com.br/brasil/no-dia-da-familia-damares-alves-e-chamada-de-mae-dos-brasileiros/,"No dia da família, Damares Alves é chamada de “Mãe dos brasileiros”",A ministra prometeu anunciar medidas de prevenção à violência doméstica ainda nessa sexta-feira (15)
https://www.br104.com.br/santana-do-mundau/mesmo-em-meio-a-pandemia-da-covid-19-saude-de-santana-do-mundau-segue-no-combate-a-dengue/,"Mesmo em meio à pandemia da Covid-19, Saúde de Santana do Mundaú segue no combate à dengue","A secretária Paula Cavalcante, destaca que o programa tem sido bem recebido pela população."
https://www.br104.com.br/politica/nelson-teich-pede-demissao-28-dias-apos-assumir-o-ministerio-da-saude/,Nelson Teich pede demissão 28 dias após assumir o Ministério da Saúde,"Para falar publicamente sobre seu pedido de exoneração, o Ministério da Saúde agendou uma coletiva de imprensa com os jornalistas para esta tarde."
https://www.br104.com.br/alagoas/mpe-al-investiga-irregularidade-na-compra-de-cestas-basicas-de-prefeitura-de-teotonio-vilela/,MPE/AL investiga irregularidade na compra de cestas básicas de Prefeitura de Teotônio Vilela,"Segundo denúncias, a Prefeitura de Teotônio Vilela teria comprado cestas básicas em um supermercado pertencente ao filho de um vereador do município"
https://www.br104.com.br/policia/petronio-lima-faz-apelo-e-pede-que-testes-da-covid-19-sejam-realizados-em-agentes-penitenciarios/,Petrônio Lima faz apelo e pede que testes da Covid-19 sejam realizados em agentes penitenciários,"De acordo com o presidente da Sindapen/AL, policiais penais estão afastados e não conseguem realizar o teste de Covid-19 por falta de atendimento"
https://www.br104.com.br/alagoas/alagoas-desbanca-governo-federal-e-lidera-ranking-de-transparencia-sobre-coronavirus/,Alagoas desbanca o Governo Federal e lidera ranking de transparência sobre coronavírus,Alagoas atingiu um total de 98 dos 100 pontos estabelecidos pela instituição para o ranking
https://www.br104.com.br/sao-jose-da-laje/sao-jose-da-laje-tem-20-casos-de-covid-19-confirmados/,São José da Laje tem 20 casos de Covid-19 confirmados,Um paciente já está curado do Covid-19 no município
https://www.br104.com.br/economia/confira-o-calendario-de-pagamento-da-segunda-parcela-do-auxilio-emergencial/,Confira o calendário de pagamento da segunda parcela do Auxílio Emergencial,"Com atraso de 17 dias, milhões de brasileiros estavam aguardando a divulgação da data em que poderiam sacar o auxílio no valor de R$600 ou R$1200."
https://www.br104.com.br/policia/pc-vai-investigar-assassinato-de-homem-encontrado-morto-dentro-de-casa-em-arapiraca/,PC vai investigar assassinato de homem encontrado morto dentro de casa em Arapiraca,"A polícia informou que havia copos de bebidas alcóolicas no local, e que as portas de acesso ao interior da residência estavam sem marcas de arrombamento"
https://www.br104.com.br/uniao-dos-palmares/uniao-dos-palmares-tem-4-mortos-por-covid-19-e-41-casos-confirmados/,União dos Palmares tem 4 mortos por Covid-19 e 41 casos confirmados,"Até o momento, 11 pacientes concluíram o isolamento, não apresentam mais sintomas e por tanto, estão curados."
https://www.br104.com.br/uniao-dos-palmares/prefeitura-de-uniao-dos-palmares-organiza-vias-publicas-de-agencias-bancarias/,Prefeitura de União dos Palmares organiza vias públicas de agências bancárias,"A medida não apenas garante o distanciamento de 1,5 metros entre pessoas, mas também colaborou para o dinamismo dos atendimentos na Caixa Econômica"
https://www.br104.com.br/brasil/oab-repudia-artigo-sobre-zumbi-dos-palmares-publicado-pela-fundacao-palmares/,OAB repudia artigo sobre Zumbi dos Palmares publicado pela Fundação Palmares,"Apontado pelo presidente da Palmares como sendo ""A verdade sobre Zumbi dos Palmares"", o artigo repercutiu nos principais veículos de comunicação do país"
https://www.br104.com.br/eleicoes-2020/eleicoes-2020-o-que-pre-candidatos-a-prefeitura-de-uniao-estao-fazendo-na-pandemia/,Eleições 2020: O que pré-candidatos a prefeitura de União estão fazendo na pandemia,"Com a pandemia do novo coronavírus, os políticos precisam se adaptar e encontrar meios de atrair seu eleitorado"
https://www.br104.com.br/sao-jose-da-laje/caminhao-tomba-na-curva-da-melancia-em-sao-jose-da-laje/,Caminhão tomba na “Curva da Melancia” em São José da Laje,O trecho em que o acidente aconteceu já é muito conhecido por caminhoneiros que trafegam no local
